Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0402,2,15pF,
"C10, C13, C14, C15, C16, C17, C18, C19, C9",0402,9,100nF,
"C11, C12, C20",0402,3,1uF,
"C23, C26",0603,2,.1uF,
C24,0603,1,2.2nF,
C25,0603,1,10nF,
C3,0402,1,100n,
C30,0805,1,10uF,
C31,0805,1,1uF,
"C4, C6",0603,2,10uF,
"C5, C7, C8",0603,3,22uF,
"D1, D2",0402,2,LED,
"D3, D4, D_L_1_1, D_L_1_2, D_L_1_3, D_L_1_4, D_L_1_5, D_L_1_6, D_L_1_7, D_L_1_8, D_L_2_1, D_L_2_2, D_L_2_3, D_L_2_4, D_L_2_5, D_L_2_6, D_L_2_7, D_L_2_8, D_L_3_1, D_L_3_2, D_L_3_3, D_L_3_4, D_L_3_5, D_L_3_6, D_L_3_7, D_L_3_8, D_L_4_1, D_L_4_2, D_L_4_3, D_L_4_4, D_L_4_5, D_L_4_6, D_L_4_7, D_L_4_8, D_L_5_1, D_L_5_2, D_L_5_3, D_L_5_4, D_L_5_5, D_L_5_6, D_L_5_7, D_L_5_8, D_L_6_1, D_L_6_2, D_L_6_3, D_L_6_4, D_L_6_5, D_L_6_6, D_L_6_7, D_L_6_8",0603,50,LED,
FB1,0805,1,120ohm.100Mhz,
J2,USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,1,USB_C_Receptacle_USB2.0_14P,
J4,PinHeader_1x03_P1.00mm_Vertical_SMD_Pin1Left,1,Conn_01x03_Pin,
J5,PinHeader_1x04_P1.00mm_Vertical,1,Conn_01x04_Pin,
"R1, R14, R15, R2",0402,4,220,
"R10, R3",0402,2,1k,
"R12, R13",0402,2,5.1K,
"R16, R17",0402,2,27.4,
R20,1206,1,20K,
SW1,SW_Push_SPST_NO_Alps_SKRK,1,GP0,C318884
SW2,SW_Push_SPST_NO_Alps_SKRK,1,BOOT_SEL,C318884
U1,SOT-23-6,1,SRV05-4,
U2,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,
U3,SOT-223-3_TabPin2,1,AMS1117-3.3,
U4,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U5,InvenSense_QFN-24_4x4mm_P0.5mm,1,MPU-6050,
U6,QFN-28-1EP_4x4mm_P0.4mm_EP2.4x2.4mm_ThermalVias,1,IS31FL3731-QF,
Y1,Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm,1,Crystal_GND24,
