Designator,Mid X,Mid Y,Rotation,Layer
C1,117.4,-52.9,180.0,top
C10,123.3,-42.22,90.0,top
C11,121.6,-53.6,270.0,top
C12,114.98,-45.6,180.0,top
C13,119.9,-42.32,90.0,top
C14,125.8,-45.6,0.0,top
C15,125.8,-49.2,0.0,top
C16,120.6,-53.6,270.0,top
C17,124.4,-43.9,0.0,top
C18,115.7,-50.48,270.0,top
C19,127.08,-48.1,0.0,top
C2,116.7,-57.6,180.0,top
C20,90.1,-53.1,270.0,bottom
C23,125.75,-50.75,180.0,bottom
C24,136.75,-40.75,0.0,top
C25,133.5,-48.5,180.0,top
C26,136.25,-49.0,270.0,top
C3,124.88,-42.9,0.0,top
C30,109.0,-53.75,0.0,top
C31,98.0,-51.171751,315.0,bottom
C4,119.5,-28.25,0.0,top
C5,122.5,-28.25,180.0,top
C6,120.225,-34.0,0.0,top
C7,123.275,-34.0,180.0,top
C8,121.0,-31.0,0.0,top
C9,118.9,-42.42,90.0,top
D1,128.5,-46.0,180.0,top
D2,128.5,-47.0,180.0,top
D3,115.75,-37.75,0.0,top
D4,115.75,-35.25,0.0,top
D_L_1_1,92.1125,-29.23,0.0,top
D_L_1_2,92.1125,-31.82,0.0,top
D_L_1_3,92.1125,-34.41,0.0,top
D_L_1_4,92.1125,-37.0,0.0,top
D_L_1_5,92.1125,-39.59,0.0,top
D_L_1_6,92.1125,-42.18,0.0,top
D_L_1_7,92.1125,-44.77,0.0,top
D_L_1_8,92.1125,-47.36,0.0,top
D_L_2_1,96.1625,-29.23,0.0,top
D_L_2_2,96.1625,-31.82,0.0,top
D_L_2_3,96.1625,-34.41,0.0,top
D_L_2_4,96.1625,-37.0,0.0,top
D_L_2_5,96.1625,-39.59,0.0,top
D_L_2_6,96.1625,-42.18,0.0,top
D_L_2_7,96.1625,-44.77,0.0,top
D_L_2_8,96.1625,-47.36,0.0,top
D_L_3_1,100.2125,-29.23,0.0,top
D_L_3_2,100.2125,-31.82,0.0,top
D_L_3_3,100.2125,-34.41,0.0,top
D_L_3_4,100.2125,-37.0,0.0,top
D_L_3_5,100.2125,-39.59,0.0,top
D_L_3_6,100.2125,-42.18,0.0,top
D_L_3_7,100.2125,-44.77,0.0,top
D_L_3_8,100.2125,-47.36,0.0,top
D_L_4_1,104.2625,-29.23,0.0,top
D_L_4_2,104.2625,-31.82,0.0,top
D_L_4_3,104.2625,-34.41,0.0,top
D_L_4_4,104.2625,-37.0,0.0,top
D_L_4_5,104.2625,-39.59,0.0,top
D_L_4_6,104.2625,-42.18,0.0,top
D_L_4_7,104.2625,-44.77,0.0,top
D_L_4_8,104.2625,-47.36,0.0,top
D_L_5_1,108.3125,-29.23,0.0,top
D_L_5_2,108.3125,-31.82,0.0,top
D_L_5_3,108.3125,-34.41,0.0,top
D_L_5_4,108.3125,-37.0,0.0,top
D_L_5_5,108.3125,-39.59,0.0,top
D_L_5_6,108.3125,-42.18,0.0,top
D_L_5_7,108.3125,-44.77,0.0,top
D_L_5_8,108.3125,-47.36,0.0,top
D_L_6_1,112.3625,-29.23,0.0,top
D_L_6_2,112.3625,-31.82,0.0,top
D_L_6_3,112.3625,-34.41,0.0,top
D_L_6_4,112.3625,-37.0,0.0,top
D_L_6_5,112.3625,-39.59,0.0,top
D_L_6_6,112.3625,-42.18,0.0,top
D_L_6_7,112.3625,-44.77,0.0,top
D_L_6_8,112.3625,-47.36,0.0,top
FB1,132.75,-33.25,135.0,bottom
J2,132.072614,-34.0,135.0,top
J4,128.75,-54.0,0.0,top
J5,91.4,-54.1,0.0,top
R1,130.75,-45.51,0.0,top
R10,120.25,-57.75,180.0,top
R12,131.0,-32.5,135.0,bottom
R13,133.25,-35.0,135.0,bottom
R14,115.5,-39.0,0.0,top
R15,115.5,-36.5,0.0,top
R16,120.9,-42.24,90.0,top
R17,122.3,-42.24,90.0,top
R2,130.75,-47.5,0.0,top
R20,110.25,-51.25,180.0,bottom
R3,120.5,-55.1,0.0,top
SW1,115.65,-41.25,0.0,bottom
SW2,126.0,-54.25,270.0,bottom
U1,121.5625,-36.950001,180.0,top
U2,119.0,-54.0,90.0,bottom
U3,118.6,-31.1,0.0,bottom
U4,120.4,-48.2,90.0,top
U5,135.25,-44.45,0.0,top
U6,102.25,-52.75,270.0,top
Y1,117.4,-55.3,180.0,top
